direction,layout,addr,floor,url,price,area,visit,style,publish,xiaoqu,lift,year,title,care
 南 , 2室1厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003787909.html,315, 70平米 , 共9次带看 , 简装, 1个月以前发布,富力天朗明居S区  ,,2001年建塔楼 ,富力天朗明居 精装两房 南向采光好,22人关注 
 北 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003067257.html,320, 66平米 , 共8次带看 , 简装 , 6个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 北向对流两房 温馨舒适居家,12人关注 
 东 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003528181.html,318, 71.9平米 , 共32次带看 , 精装 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,车陂天朗明居 高层两房 精装修,36人关注 
 西 , 2室2厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002864432.html,325, 71.34平米 , 共20次带看 , 简装 , 8个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装2房 格局方正,49人关注 
 北 , 1室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003300298.html,210, 45平米 , 共11次带看 , 精装 , 4个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 精装一房 户型方正,72人关注 
 东 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003252669.html,438, 85平米 , 共7次带看 , 其他 , 4个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 实用两房 户型方正,2人关注 
 西 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003617654.html,360, 71平米 , 共1次带看 , 其他 , 1个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装2房 格局方正,7人关注 
 东 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003484878.html,350, 69.77平米 , 共7次带看 , 精装 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 温馨两房 房子保养好,48人关注 
 南 , 1室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003854522.html,220, 40平米 , 共4次带看 , 精装 , 3个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 精装一房 户型方正,10人关注 
 北 , 3室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003136304.html,430, 68.77平米 , 共2次带看 , 简装 , 5个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗复式三加一房 安静望花园  采光好,26人关注 
 东南 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003884752.html,310, 59.06平米 , 共14次带看 , 其他 , 8天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装两房 望花园 安静舒适,14人关注 
 东 , 3室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003310964.html,518, 62.75平米 , 共0次带看 , 精装 , 3个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 复式三房 户型方正 视野开阔,20人关注 
 南 , 2室2厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003389295.html,295, 63.93平米 , 共62次带看 , 其他 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 温馨两房 格局方正 采光通风好,56人关注 
 北 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003782323.html,330, 70平米 , 共51次带看 , 精装 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装两房 交通方便,2人关注 
 东 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003261821.html,312, 65.87平米 , 共36次带看 , 其他 , 4个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 东向两房 采光充裕,32人关注 
