direction,layout,addr,floor,url,price,area,visit,style,xiaoqu,year,title
北,1室0厅,天河车陂,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003301562.html,93,24.3平米,0,其他,惠苑楼,1995年建/塔楼,惠苑楼 户型方正 采光通风好
南 北,2室1厅,天河沙河,高楼层/共7层,https://gz.lianjia.com/ershoufang/GZ0003324000.html,95,46.8平米,0,其他,濂泉路沙东大街,未知年建/塔楼,沙东大街 小两房
南 北,2室1厅,天河沙河,中楼层/共8层,https://gz.lianjia.com/ershoufang/GZ0003011193.html,95,46平米,0,简装,濂泉路沙东大街,未知年建/塔楼,沙东大街二房 方正实用 采光好
南,2室1厅,天河沙太北,低楼层/共6层,https://gz.lianjia.com/ershoufang/GZ0003796379.html,50,41.62平米,0,其他,荣盛商汇,未知年建/板楼,芒果公寓 户型好 可办公
南,2室1厅,天河沙河,低楼层/共3层,https://gz.lianjia.com/ershoufang/GZ0003005705.html,60,42.91平米,0,其他,先烈东横路,1993年建/塔楼,先烈东横路 公寓 可注册公司
南,2室1厅,天河沙太北,中楼层/共6层,https://gz.lianjia.com/ershoufang/GZ0003778465.html,53,52.78平米,0,其他,荣盛商汇,未知年建/板楼,芒果公寓 户型好 可办公
南 北,2室1厅,天河沙河,低楼层/共4层,https://gz.lianjia.com/ershoufang/GZ0003559629.html,95,39.58平米,0,简装,禺东西路花生寮,未知年建/板楼,花生寮 低层两房 交通方便
南,3室2厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0002886193.html,280,99平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 温馨三房
西北,2室1厅,天河沙太北,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003760803.html,240,65平米,0,其他,白天鹅花园,2004年建/塔楼,白天鹅花园 方正实用两房
南,2室2厅,天河沙太北,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003120545.html,265,94.66平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 实用大两房 精装修
南,2室2厅,天河沙太北,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003380861.html,198,66.21平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 2房1厅 户型方正
